symbol,sig_id,time,entry_price,obi_dir,tps,window,entropy,signal_duration_s,exit_reason,mfe_intra,t1s,t5s,t10s,t30s,t60s,t120s,t300s,t600s,t1200s,t1800s
BTCUSDT,19,23:02:16,75211.635,buy,46.0,300,0.7015,0.9,entropy_normalized,0.0,-0.0147,-0.0341,-0.0462,0.0316,0.0643,-0.0093,-0.1367,-0.305,-0.3133,-0.2608
BTCUSDT,20,23:02:35,75211.625,buy,32.6,300,0.5099,1.1,entropy_normalized,0.0005,0.0,-0.0019,0.0244,0.0165,0.0296,0.0554,-0.1114,-0.2973,-0.4144,-0.2681
ETHUSDT,12,23:02:37,2070.915,buy,21.4,300,0.5294,0.2,entropy_normalized,0.0051,-0.0056,-0.0191,-0.0229,-0.0592,-0.0403,0.0017,-0.1012,-0.3986,-0.6,-0.459
BTCUSDT,21,23:02:46,75238.255,buy,42.3,300,0.5929,2.9,entropy_normalized,0.0,0.0,0.0051,-0.0193,0.0289,-0.0453,-0.0167,-0.1572,-0.3269,-0.4295,-0.2927
BTCUSDT,22,23:04:01,75230.005,sell,29.3,300,0.6944,1.6,entropy_normalized,0.0268,-0.0037,0.0408,0.0408,-0.0309,0.0149,0.1204,0.2855,0.266,0.4066,0.5131
ETHUSDT,13,23:04:34,2071.455,buy,35.4,300,0.469,1.6,entropy_normalized,-0.0002,-0.0002,-0.0244,-0.0142,-0.0799,-0.0968,-0.1977,-0.3213,-0.4251,-0.7026,-0.6158
BTCUSDT,23,23:07:36,75127.865,buy,10.5,300,0.6343,4.0,entropy_normalized,0.0162,0.0082,-0.0078,-0.0105,-0.1321,-0.1676,-0.1702,-0.1862,-0.114,-0.3398,-0.188
BTCUSDT,24,23:07:56,75028.005,sell,162.3,300,0.5574,2.8,entropy_normalized,-0.0,-0.0001,-0.0141,-0.0008,-0.0027,0.017,0.0107,0.0243,-0.0426,0.3065,0.028
BTCUSDT,25,23:08:37,75001.945,sell,111.4,300,0.6181,0.4,entropy_normalized,0.0176,0.0159,0.0,0.0159,-0.0178,0.0026,0.0256,-0.0315,-0.0901,0.2543,-0.1432
BTCUSDT,26,23:08:57,75015.245,sell,22.5,300,0.7285,7.8,entropy_normalized,0.0,-0.0,0.0,-0.0001,0.0256,-0.0064,0.0716,-0.0064,-0.1127,0.2666,-0.1254
BTCUSDT,27,23:11:13,74977.025,buy,56.0,300,0.6653,2.3,entropy_normalized,0.0,0.0,-0.0193,0.0298,0.0124,0.0165,0.0524,0.0697,0.0382,0.0038,0.1423
ETHUSDT,14,23:12:24,2062.765,buy,12.5,300,0.7478,0.7,entropy_normalized,-0.0002,-0.0002,0.0051,-0.0061,0.0448,0.0293,-0.0041,0.0468,-0.0991,-0.0381,-0.1942
BTCUSDT,28,23:13:15,75019.685,buy,17.8,300,0.5754,5.8,entropy_normalized,0.0,0.0,0.0,-0.0,-0.0031,0.0089,0.0191,0.0294,-0.1141,-0.0869,-0.041
BTCUSDT,29,23:14:17,74987.985,sell,168.2,300,0.4583,1.4,entropy_normalized,-0.0,-0.0,-0.0347,-0.0447,-0.0447,-0.0664,-0.0551,-0.1494,0.1187,0.1,-0.0611
BTCUSDT,30,23:15:09,75021.515,buy,23.0,300,0.7478,1.1,entropy_normalized,0.0,0.0,0.0166,0.0366,0.0397,0.0078,0.0839,0.2017,-0.1856,-0.0154,0.0424
BTCUSDT,31,23:15:22,75038.735,buy,22.8,300,0.6422,8.7,entropy_normalized,0.0177,0.0,0.0164,0.0049,0.0131,-0.03,0.0284,0.0204,-0.1876,-0.0431,0.0415
ETHUSDT,15,23:15:29,2063.835,buy,14.2,300,0.6014,1.4,entropy_normalized,-0.0002,-0.0002,-0.0361,-0.025,-0.0555,-0.1519,-0.0061,0.0109,-0.2377,-0.164,-0.1703
ETHUSDT,16,23:17:16,2064.525,buy,23.2,300,0.7478,0.9,entropy_normalized,0.0002,-0.009,-0.0337,-0.0385,-0.084,-0.0235,0.0836,-0.1717,-0.318,-0.301,-0.1005
BTCUSDT,32,23:17:27,75050.005,sell,29.3,300,0.65,1.1,entropy_normalized,0.0107,0.0053,0.0053,0.016,-0.006,0.0116,-0.0906,0.1252,0.2314,0.1517,-0.1046
BTCUSDT,33,23:17:35,75042.215,sell,15.6,300,0.7478,0.4,entropy_normalized,0.0,0.0,0.0067,0.0297,0.0012,-0.02,-0.1045,0.1746,0.226,0.0741,-0.115
