symbol,time,entry_price,obi_dir,tps,window,entropy,exit_reason,duration_s,mfe_pct,mae_pct,dir_correct,move_t1s,move_t5s,move_t10s,move_t20s,move_t30s,move_t60s
SOLUSDT,22:19:42,85.125,sell,1.5,45,0.8366,entropy_normalized,16.6,0.0176,-0.0059,,0.0059,0.0059,0.0059,0.0059,0.0059,0.0059
SOLUSDT,22:20:04,85.115,sell,1.55,46,0.8281,entropy_normalized,5.6,0.0059,-0.0059,,0.0059,0.0059,-0.0059,-0.0059,-0.0059,-0.0059
ETHUSDT,22:20:18,2120.035,buy,13.92,300,0.6098,entropy_normalized,10.5,0.0002,-0.0012,,-0.0007,-0.0007,-0.0012,-0.0012,-0.0012,-0.0012
ETHUSDT,22:20:38,2120.185,buy,4.31,129,0.725,entropy_normalized,3.2,0.0002,-0.0083,,0.0002,-0.0083,-0.0083,-0.0083,-0.0083,-0.0083
BTCUSDT,22:20:22,76978.005,buy,12.92,300,0.8317,entropy_normalized,29.4,0.0078,-0.0,,0.0,0.0,0.0066,0.0078,0.0078,0.0078
BTCUSDT,22:20:53,77004.845,buy,18.49,300,0.4022,entropy_normalized,6.6,0.0052,-0.0089,,-0.0,0.0052,-0.0089,-0.0089,-0.0089,-0.0089
SOLUSDT,22:20:53,85.185,buy,2.92,87,0.6084,entropy_normalized,31.8,0.0176,-0.0293,True,-0.0059,0.0059,0.0059,0.0176,0.0176,0.0059
ETHUSDT,22:21:28,2119.355,sell,2.68,80,0.669,entropy_normalized,17.4,0.021,-0.0007,,-0.0002,-0.0002,0.021,0.0002,0.0002,0.0002
BTCUSDT,22:21:30,76974.005,sell,9.51,285,0.6459,entropy_normalized,16.8,0.041,-0.0,,-0.0,-0.0,0.041,0.0274,0.0274,0.0274
BTCUSDT,22:21:47,76948.005,sell,12.57,300,0.8462,entropy_normalized,0.2,-0.0,-0.0,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
SOLUSDT,22:21:52,85.145,sell,2.82,84,0.8469,entropy_normalized,0.1,0.0059,0.0059,,0.0059,0.0059,0.0059,0.0059,0.0059,0.0059
SOLUSDT,22:21:56,85.125,sell,3.34,100,0.8267,entropy_normalized,0.4,0.0294,0.0059,,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294
BTCUSDT,22:21:52,76925.065,sell,50.07,300,0.5754,entropy_normalized,6.9,0.1574,0.0,,0.029,0.1079,0.1424,0.1424,0.1424,0.1424
ETHUSDT,22:21:56,2117.945,sell,21.07,300,0.7895,entropy_normalized,4.2,0.0895,-0.0002,,0.0526,0.0588,0.0588,0.0588,0.0588,0.0588
BTCUSDT,22:22:00,76849.065,buy,124.35,300,0.7351,entropy_normalized,3.2,0.0116,-0.0044,,0.0116,-0.0044,-0.0044,-0.0044,-0.0044,-0.0044
ETHUSDT,22:22:26,2115.595,sell,19.13,300,0.5197,entropy_normalized,1.8,0.0002,-0.0206,,-0.0054,-0.0206,-0.0206,-0.0206,-0.0206,-0.0206
BTCUSDT,22:22:19,76822.225,sell,28.64,300,0.5482,entropy_normalized,8.1,0.0289,-0.0,,0.0,0.0237,0.01,0.01,0.01,0.01
BTCUSDT,22:22:37,76794.705,buy,73.91,300,0.6577,entropy_normalized,4.2,0.0283,-0.0,,0.0,0.0283,0.0283,0.0283,0.0283,0.0283
ETHUSDT,22:22:55,2116.765,buy,6.02,180,0.65,entropy_normalized,15.1,0.0215,-0.0172,,0.0002,0.0026,0.0215,-0.0168,-0.0168,-0.0168
BTCUSDT,22:22:48,76838.215,sell,26.24,300,0.8366,entropy_normalized,27.7,0.0,-0.0347,,-0.0,-0.0049,-0.0139,-0.0327,-0.031,-0.031
ETHUSDT,22:23:38,2117.005,buy,3.18,95,0.5171,entropy_normalized,17.6,0.0286,-0.0002,,0.0002,0.0002,0.0144,0.0253,0.0253,0.0253
BTCUSDT,22:24:04,76829.695,buy,23.5,300,0.7838,entropy_normalized,2.5,0.0134,0.0,,0.0,0.0134,0.0134,0.0134,0.0134,0.0134
SOLUSDT,22:24:37,85.125,buy,1.51,45,0.8024,entropy_normalized,1.7,0.0059,-0.0059,,0.0059,-0.0059,-0.0059,-0.0059,-0.0059,-0.0059
BTCUSDT,22:24:33,76881.415,sell,10.21,300,0.2721,entropy_normalized,16.7,0.002,-0.006,,-0.0,-0.006,-0.006,0.002,0.002,0.002
ETHUSDT,22:24:33,2118.195,buy,4.61,138,0.3751,entropy_normalized,21.6,0.0186,-0.0002,,0.0002,0.0054,0.0097,0.0097,0.0097,0.0097
ETHUSDT,22:25:09,2117.065,sell,18.09,300,0.7602,entropy_normalized,12.0,0.0598,-0.0002,,0.0002,0.0002,0.0508,0.0361,0.0361,0.0361
BTCUSDT,22:25:01,76846.015,sell,22.44,300,0.7015,entropy_normalized,22.8,0.0486,-0.0,,0.0026,0.0153,0.0339,0.0417,0.0391,0.0391
BTCUSDT,22:25:39,76822.005,buy,4.18,125,0.7528,entropy_normalized,2.4,0.0026,-0.0,,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026
ETHUSDT,22:25:38,2116.395,sell,3.89,116,0.6011,entropy_normalized,3.9,0.0002,0.0002,,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
ETHUSDT,22:26:02,2117.005,sell,5.16,154,0.5917,entropy_normalized,22.3,0.0002,-0.0064,,-0.0002,0.0002,0.0002,-0.0064,-0.0059,-0.0059
BTCUSDT,22:26:00,76836.005,sell,4.98,149,0.6526,entropy_normalized,27.3,0.0,-0.0,,-0.0,-0.0,-0.0,0.0,0.0,0.0
ETHUSDT,22:26:51,2116.505,sell,2.41,72,0.4601,entropy_normalized,9.9,0.0002,-0.012,,0.0002,0.0002,-0.0116,-0.0116,-0.0116,-0.0116
ETHUSDT,22:27:39,2116.515,sell,2.31,69,0.5176,entropy_normalized,37.6,0.012,-0.0111,False,0.0002,-0.0002,-0.0002,0.0002,0.012,-0.0111
BTCUSDT,22:28:15,76818.005,sell,1.96,58,0.7355,entropy_normalized,2.3,0.0,-0.0,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
ETHUSDT,22:29:43,2116.235,sell,1.85,55,0.5499,entropy_normalized,4.4,0.0078,-0.0002,,0.0002,0.0073,0.0073,0.0073,0.0073,0.0073
BTCUSDT,22:29:59,76798.045,buy,7.68,230,0.847,entropy_normalized,0.5,0.0,-0.0,,0.0,0.0,0.0,0.0,0.0,0.0
BTCUSDT,22:30:23,76842.995,buy,25.08,300,0.4365,entropy_normalized,9.6,0.0065,-0.0092,,0.0,0.0065,-0.0092,-0.0092,-0.0092,-0.0092
ETHUSDT,22:30:32,2116.495,buy,2.97,89,0.3121,entropy_normalized,0.7,0.0002,-0.0201,,-0.0201,-0.0201,-0.0201,-0.0201,-0.0201,-0.0201
BTCUSDT,22:30:41,76802.995,buy,38.06,300,0.4583,entropy_normalized,8.1,0.0,-0.0818,,-0.0,-0.0074,-0.0595,-0.0595,-0.0595,-0.0595
ETHUSDT,22:30:40,2114.825,sell,25.76,300,0.7838,entropy_normalized,14.0,0.1151,-0.005,,-0.005,0.0234,0.0891,0.0972,0.0972,0.0972
ETHUSDT,22:31:02,2114.145,buy,22.21,300,0.6727,entropy_normalized,0.3,-0.0002,-0.0187,,-0.0187,-0.0187,-0.0187,-0.0187,-0.0187,-0.0187
BTCUSDT,22:31:01,76785.965,buy,25.79,300,0.6343,entropy_normalized,8.3,0.006,-0.0182,,0.0,-0.0046,-0.0009,-0.0009,-0.0009,-0.0009
ETHUSDT,22:31:19,2112.255,sell,27.05,300,0.5099,entropy_normalized,6.2,0.1247,0.0002,,0.023,0.1243,0.0883,0.0883,0.0883,0.0883
ETHUSDT,22:31:27,2111.385,sell,205.35,300,0.4022,entropy_normalized,0.9,0.0334,0.0002,,0.032,0.032,0.032,0.032,0.032,0.032
BTCUSDT,22:31:13,76740.175,buy,42.6,300,0.778,entropy_normalized,17.0,0.0,-0.0629,,-0.0,-0.0,-0.0349,-0.0554,-0.0554,-0.0554
